0.01%,pdcp_timer,nr-softmodem,nr_pdcp_entity_set_time,PDCP,,
0.01%,Tpool0_-1,nr-softmodem,ldpc8blocks,PHY,HIGH PHY,LDPC
0.01%,pdcp_timer,[kernel.kallsyms],futex_wait_queue_me,PDCP,,
0.01%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,
0.01%,pdcp_timer,[unknown],0xfffffe00000ca01b,PDCP,,
0.01%,pdcp_timer,[kernel.kallsyms],find_next_bit,PDCP,,
0.01%,pdcp_timer,[kernel.kallsyms],__perf_event_task_sched_in,PDCP,,
0.00%,pdcp_timer,[kernel.kallsyms],native_apic_msr_write,PDCP,,
0.00%,pdcp_timer,[kernel.kallsyms],intel_bts_enable_local,PDCP,,
0.00%,pdcp_timer,[kernel.kallsyms],intel_pmu_handle_irq,PDCP,,
0.00%,pdcp_timer,[kernel.kallsyms],__indirect_thunk_start,PDCP,,
0.00%,pdcp_timer,[kernel.kallsyms],x86_pmu_enable,PDCP,,
