Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.09%,0.19%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,,-0.1%
0.09%,0.02%,thread_FH,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,0.06999999999999999%
0.09%,0.09%,Tpool2_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.0%
0.09%,0.02%,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.06999999999999999%
0.09%,0.11%,thread_FH,librfsimulator.so,flushInput,PHY,LOW PHY,,,-0.020000000000000004%
0.08%,0.11%,thread_FH,[kernel.kallsyms],ixgbe_xmit_frame_ring,PHY,LOW PHY,,,-0.03%
0.08%,0.01%,Tpool2_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,0.07%
0.08%,0.21%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,,,-0.13%
0.08%,0.02%,thread_FH,[kernel.kallsyms],page_frag_free,PHY,LOW PHY,,0.06%
0.07%,0.06%,Tpool3_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.010000000000000009%
0.07%,0.11%,thread_FH,[kernel.kallsyms],tcp_recvmsg,PHY,LOW PHY,,,-0.039999999999999994%
0.07%,0%,thread_FH,[unknown],0xfffffe000003701b,PHY,LOW PHY,,-0.039999999999999994%
0.07%,0.12%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.04999999999999999%
0.07%,0%,thread_FH,[kernel.kallsyms],ep_item_poll.isra.12,PHY,LOW PHY,,-0.04999999999999999%
0.07%,0%,Tpool0_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,-0.04999999999999999%
0.06%,0.02%,feptx,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,,0.039999999999999994%
0.06%,0.02%,Tpool1_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.039999999999999994%
0.06%,0.10%,feptx,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.04000000000000001%
0.06%,0.03%,Tpool2_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.03%
0.06%,0%,feptx,libpthread-2.27.so,pthread_mutex_unlock,PHY,LOW PHY,,0.03%
0.06%,0.05%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,,0.009999999999999995%
0.06%,0%,thread_FH,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,0.009999999999999995%
0.06%,0.04%,pdcp_timer,[kernel.kallsyms],do_syscall_64,PDCP,,,0.019999999999999997%
0.06%,0.02%,thread_FH,nr-softmodem,get_samples_per_slot,PHY,LOW PHY,,0.039999999999999994%
0.06%,0.06%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,,0.0%
0.06%,0.03%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,0.03%
0.06%,0.03%,thread_FH,[kernel.kallsyms],sock_rfree,PHY,LOW PHY,,0.03%
0.06%,0.04%,thread_FH,[kernel.kallsyms],tcp_rcv_space_adjust,PHY,LOW PHY,,0.019999999999999997%
0.06%,0.03%,thread_FH,libc-2.27.so,epoll_wait,PHY,LOW PHY,,0.03%
0.06%,0.06%,Tpool0_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,0.0%
0.05%,0.08%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.03%
0.05%,0.02%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,,0.030000000000000002%
0.05%,0.06%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,,-0.009999999999999995%
0.05%,0.04%,thread_FH,nr-softmodem,ru_thread,PHY,LOW PHY,,0.010000000000000002%
0.05%,0.06%,feptx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,,,-0.009999999999999995%
0.05%,0.03%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,,0.020000000000000004%
0.05%,0.12%,thread_FH,[kernel.kallsyms],ip_finish_output2,PHY,LOW PHY,,,-0.06999999999999999%
0.05%,0.03%,thread_FH,[kernel.kallsyms],tcp_cleanup_rbuf,PHY,LOW PHY,,0.020000000000000004%
0.05%,0.10%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.05%
0.05%,0%,thread_FH,[kernel.kallsyms],__dev_queue_xmit,PHY,LOW PHY,,-0.05%
0.05%,0%,thread_FH,[kernel.kallsyms],netdev_pick_tx,PHY,LOW PHY,,-0.05%
0.04%,0.07%,Tpool0_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,,-0.030000000000000006%
0.04%,0%,feptx,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,-0.030000000000000006%
0.04%,0%,Tpool1_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,-0.030000000000000006%
0.04%,0.05%,Tpool2_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.010000000000000002%
0.04%,0%,TASK_RRC_GNB,[kernel.kallsyms],cpumask_next_and,RRC,,,-0.010000000000000002%
0.04%,0%,Tpool3_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,-0.010000000000000002%
0.04%,0%,feptx,[kernel.kallsyms],hash_futex,PHY,LOW PHY,,-0.010000000000000002%
0.04%,0.05%,nr-softmodem,nr-softmodem,tx_rf,PHY,LOW PHY,,,-0.010000000000000002%
0.04%,0.05%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,DFT,,-0.010000000000000002%
0.04%,0%,thread_FH,[kernel.kallsyms],SYSC_recvfrom,PHY,LOW PHY,,-0.010000000000000002%
0.04%,0%,thread_FH,[kernel.kallsyms],native_queued_spin_lock_slowpath,PHY,LOW PHY,,-0.010000000000000002%
0.04%,0.03%,thread_FH,[kernel.kallsyms],tcp_recv_timestamp,PHY,LOW PHY,,0.010000000000000002%
0.04%,0.14%,Tpool3_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.1%
0.04%,0%,thread_FH,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,,-0.1%
0.04%,0.03%,thread_FH,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,0.010000000000000002%
0.04%,0.34%,feptx,nr-softmodem,nr_feptx0,PHY,LOW PHY,,,-0.30000000000000004%
0.04%,0.03%,thread_FH,[kernel.kallsyms],_copy_to_iter,PHY,LOW PHY,,0.010000000000000002%
0.04%,0%,feptx,[kernel.kallsyms],get_futex_key_refs.isra.11,PHY,LOW PHY,,0.010000000000000002%
0.04%,0.19%,thread_FH,[kernel.kallsyms],tcp_poll,PHY,LOW PHY,,,-0.15%
0.04%,0%,feptx,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,-0.15%
0.04%,0.05%,thread_FH,[kernel.kallsyms],__check_object_size,PHY,LOW PHY,,,-0.010000000000000002%
0.04%,0.02%,thread_FH,[kernel.kallsyms],__virt_addr_valid,PHY,LOW PHY,,0.02%
0.04%,0.19%,feptx,libdfts.so,idft,PHY,LOW PHY,DFT,,-0.15%
0.04%,0.17%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,,,-0.13%
0.04%,0.03%,thread_FH,[kernel.kallsyms],ipv4_dst_check,PHY,LOW PHY,,0.010000000000000002%
0.04%,0.06%,feprx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.019999999999999997%
0.04%,0%,feptx,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,-0.019999999999999997%
0.04%,0.05%,thread_FH,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,,-0.010000000000000002%
0.04%,0%,TASK_RRC_GNB,[kernel.kallsyms],find_busiest_group,RRC,,,-0.010000000000000002%
0.03%,0.05%,Tpool2_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,,-0.020000000000000004%
0.03%,0%,feprx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0.07%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.04000000000000001%
0.03%,0.05%,feptx,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,,,-0.020000000000000004%
0.03%,0.04%,Tpool1_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,,-0.010000000000000002%
0.03%,0%,Tpool0_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.010000000000000002%
0.03%,0.08%,Tpool1_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,,,-0.05%
0.03%,0.02%,feptx,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,,0.009999999999999998%
0.03%,0.05%,feptx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,,-0.020000000000000004%
0.03%,0%,thread_FH,nr-softmodem,nr_fep0,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,feprx,libpthread-2.27.so,pthread_mutex_unlock,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,feprx,nr-softmodem,nr_fep0,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,thread_FH,libc-2.27.so,__libc_enable_asynccancel,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,Tpool2_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,-0.020000000000000004%
0.03%,0%,thread_FH,[kernel.kallsyms],skb_release_head_state,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,thread_FH,librfsimulator.so,pthread_mutex_lock@plt,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0.11%,thread_FH,[kernel.kallsyms],sock_poll,PHY,LOW PHY,,,-0.08%
0.03%,0.02%,thread_FH,[kernel.kallsyms],sys_epoll_wait,PHY,LOW PHY,,0.009999999999999998%
0.03%,0%,thread_FH,libpthread-2.27.so,recv,PHY,LOW PHY,,0.009999999999999998%
0.03%,0.08%,thread_FH,nr-softmodem,rx_rf,PHY,LOW PHY,,,-0.05%
0.03%,0.05%,thread_FH,[kernel.kallsyms],__local_bh_enable_ip,PHY,LOW PHY,,,-0.020000000000000004%
0.03%,0%,feptx,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,,-0.020000000000000004%
0.03%,0%,Tpool1_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,-0.020000000000000004%
0.03%,0.02%,Tpool3_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,0.009999999999999998%
0.03%,0%,TASK_RRC_GNB,[kernel.kallsyms],update_curr_rt,RRC,,,0.009999999999999998%
0.03%,0%,thread_FH,[kernel.kallsyms],tcp_ack,PHY,LOW PHY,,0.009999999999999998%
0.03%,0.03%,Tpool3_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.0%
0.03%,0%,thread_FH,[kernel.kallsyms],trigger_load_balance,PHY,LOW PHY,,0.0%
0.03%,0.02%,thread_FH,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,0.009999999999999998%
0.03%,0%,Tpool3_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,,0.009999999999999998%
0.03%,0.09%,feprx,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,,-0.06%
0.03%,0.05%,nr-softmodem,nr-softmodem,nr_feptx_ofdm_2thread,PHY,LOW PHY,,,-0.020000000000000004%
0.03%,0.03%,Tpool1_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.0%
0.03%,0.03%,nr-softmodem,nr-softmodem,nr_slot_select,PHY,LOW PHY,,0.0%
0.03%,0%,feptx,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,,0.0%
0.02%,0.02%,Tpool1_-1,nr-softmodem,gNB_dlsch_ulsch_scheduler,MAC,,,0.0%
0.02%,0%,pdcp_timer,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PDCP,,,0.0%
0.02%,0.02%,Tpool1_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,,0.0%
0.02%,0.38%,feprx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.36%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,,,-0.36%
0.02%,0%,Tpool0_-1,libldpc.so,[.],memcpy@plt,PHY,HIGH PHY,-0.36%
0.02%,0.05%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0%,thread_FH,[kernel.kallsyms],free_one_page,PHY,LOW PHY,,-0.030000000000000002%
0.02%,0.03%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_data_queue,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,feptx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],ipv4_mtu,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.02%,thread_FH,[kernel.kallsyms],tcp_stream_memory_free,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.0%
0.02%,0%,Tpool0_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,0.0%
0.02%,0%,feptx,[kernel.kallsyms],get_futex_value_locked,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,,0.0%
0.02%,0.05%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0.07%,Tpool3_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,,-0.05%
0.02%,0.03%,thread_FH,nr-softmodem,nr_slot_select,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],swiotlb_map_page,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_queue_rcv,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.09%,thread_FH,[kernel.kallsyms],__fget,PHY,LOW PHY,,,-0.06999999999999999%
0.02%,0.03%,thread_FH,[kernel.kallsyms],ip_finish_output,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0.02%,thread_FH,[kernel.kallsyms],get_futex_key_refs.isra.11,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],rcu_check_callbacks,PHY,LOW PHY,,0.0%
0.02%,0%,feptx,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],__release_sock,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],ns_to_timespec64,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],kmem_cache_alloc_node,PHY,LOW PHY,,0.0%
0.02%,0%,Tpool1_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],hash_futex,PHY,LOW PHY,,0.0%
0.02%,0.15%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,,,-0.13%
0.02%,0.04%,thread_FH,nr-softmodem,rx_nr_prach_ru,PHY,LOW PHY,,,-0.02%
0.02%,0.01%,thread_FH,[kernel.kallsyms],tcp_grow_window.isra.23,PHY,LOW PHY,,0.01%
0.02%,0.02%,feptx,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],sockfd_lookup_light,PHY,LOW PHY,,0.0%
0.02%,0.02%,thread_FH,[kernel.kallsyms],__rcu_read_lock,PHY,LOW PHY,,0.0%
0.02%,0.05%,thread_FH,[kernel.kallsyms],__netdev_pick_tx,PHY,LOW PHY,,,-0.030000000000000002%
0.02%,0%,Tpool1_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,-0.030000000000000002%
0.02%,0.06%,thread_FH,[kernel.kallsyms],try_to_wake_up,PHY,LOW PHY,,,-0.039999999999999994%
0.02%,0%,thread_FH,[kernel.kallsyms],account_user_time,PHY,LOW PHY,,-0.039999999999999994%
0.02%,0%,Tpool1_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,-0.039999999999999994%
0.02%,0.02%,thread_FH,[kernel.kallsyms],ep_scan_ready_list.constprop.17,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_event_data_recv,PHY,LOW PHY,,0.0%
0.02%,0.02%,pdcp_timer,[kernel.kallsyms],update_curr_rt,PDCP,,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],_raw_spin_lock_bh,PHY,LOW PHY,,0.0%
0.02%,0%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.0%
0.02%,0.03%,thread_FH,[kernel.kallsyms],__hrtimer_run_queues,PHY,LOW PHY,,,-0.009999999999999998%
0.02%,0%,feprx,[unknown],0xfffffe000022101b,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,[kernel.kallsyms],sched_clock_cpu,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0%,thread_FH,nr-softmodem,get_samples_slot_timestamp,PHY,LOW PHY,,-0.009999999999999998%
0.02%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],native_write_msr,RRC,,,0.02%
0.02%,0%,thread_FH,[kernel.kallsyms],update_rq_clock,PHY,LOW PHY,,0.02%
0.02%,0.02%,thread_FH,[kernel.kallsyms],check_stack_object,PHY,LOW PHY,,0.0%
