Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.03%,0%,Tpool3_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,feptx,[kernel.kallsyms],ctx_sched_out,PHY,LOW PHY,,0.02%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.02%,Tpool3_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC,0.01%,,,141.55%,0.04%,67.23%,0.01%,0.03%
0.03%,0.03%,Tpool0_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,,0.00%,,,141.55%,0.04%,67.23%,0.02%,0.02%
0.03%,0%,thread_FH,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.00%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,thread_FH,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,,0.00%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.02%,thread_FH,[kernel.kallsyms],_raw_spin_lock_bh,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.01%,0.03%
0.03%,0.04%,Tpool3_-1,libdfts.so,idft2048,PHY,LOW PHY,DFT,,-0.01%,,141.55%,0.04%,67.23%,0.03%,0.02%
0.03%,0%,thread_FH,[kernel.kallsyms],tcp_v4_md5_lookup,PHY,LOW PHY,,-0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool0_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,-0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.02%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,,0.01%,,,141.55%,0.04%,67.23%,0.01%,0.03%
0.03%,0%,Tpool1_-1,nr-softmodem,nr_schedule_ue_spec,MAC,,,0.01%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0.38%,RLC,queue,[k],RLC,,,,-0.35%,,141.55%,0.04%,67.23%,0.26%,-0.21%
0.03%,0%,feptx,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,-0.35%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.03%,0%,Tpool2_-1,nr-softmodem,nr_schedule_response,PHY,HIGH PHY,,-0.35%,,,141.55%,0.04%,67.23%,0.00%,0.04%
0.02%,0%,thread_FH,[kernel.kallsyms],futex_wait_queue_me,PHY,LOW PHY,,-0.35%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,thread_FH,[kernel.kallsyms],tcp_recv_timestamp,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.02%,thread_FH,[kernel.kallsyms],fput_many,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.04%,Tpool3_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,,,-0.02%,,141.55%,0.03%,67.23%,0.03%,0.00%
0.02%,0.02%,thread_FH,[kernel.kallsyms],SYSC_recvfrom,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.02%,feptx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,Tpool0_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],__update_load_avg_se.isra.36,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.04%,thread_FH,[kernel.kallsyms],ep_item_poll.isra.12,PHY,LOW PHY,,,-0.02%,,141.55%,0.03%,67.23%,0.03%,0.00%
0.02%,0%,TASK_GTPV1_U,[kernel.kallsyms],mark_wake_futex,NG,,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],ep_poll_callback,PHY,LOW PHY,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.07%,thread_FH,[kernel.kallsyms],__indirect_thunk_start,PHY,LOW PHY,,,-0.05%,,141.55%,0.03%,67.23%,0.05%,-0.02%
0.02%,0.02%,thread_FH,[kernel.kallsyms],schedule_hrtimeout_range_clock,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.02%,Tpool1_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],switch_to_thread_stack,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,thread_FH,[kernel.kallsyms],select_estimate_accuracy,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],trigger_load_balance,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.03%,thread_FH,[kernel.kallsyms],sock_def_readable,PHY,LOW PHY,,,-0.01%,,141.55%,0.03%,67.23%,0.02%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],__alloc_skb,PHY,LOW PHY,,-0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.00%,feprx,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,,0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,thread_FH,libdfts.so,dft256@plt,PHY,LOW PHY,DFT,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.03%,Tpool2_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,,-0.01%,,141.55%,0.03%,67.23%,0.02%,0.01%
0.02%,0%,TASK_RRC_GNB,[kernel.kallsyms],syscall_return_via_sysret,RRC,,,-0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool1_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,-0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,Tpool2_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],irq_work_run_list,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],mlx4_en_features_check,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],plist_del,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],__fget_light,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],get_futex_value_locked,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_generate_pbch,PHY,HIGH PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,thread_FH,libdfts.so,dft64@plt,PHY,LOW PHY,DFT,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.01%,feprx,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.01%,0.02%
0.02%,0.19%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,,,-0.17%,,141.55%,0.03%,67.23%,0.13%,-0.10%
0.02%,0%,Tpool1_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,-0.17%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,feprx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.02%,Tpool1_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,Tpool1_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,nr-softmodem,rx_nr_prach_ru,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool3_-1,libldpc.so,nrLDPC_cn2bnProcBuf_BG2,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,Tpool3_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],kfree_skbmem,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],ksize,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],update_rt_migration,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,pdcp_timer,nr-softmodem,nr_pdcp_entity_set_time,PDCP,,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,thread_FH,[kernel.kallsyms],tcp_v4_do_rcv,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.01%,feptx,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.01%,0.02%
0.02%,0%,Tpool2_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool2_-1,libdfts.so,idft256,PHY,LOW PHY,DFT,0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.04%,pdcp_timer,[kernel.kallsyms],syscall_return_via_sysret,PDCP,,,,-0.02%,,141.55%,0.03%,67.23%,0.03%,0.00%
0.02%,0%,feptx,[kernel.kallsyms],cpuacct_charge,PHY,LOW PHY,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,TASK_GTPV1_U,libc-2.27.so,__libc_disable_asynccancel,NG,,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool2_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool1_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool2_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.01%,feptx,libdfts.so,idft1024@plt,PHY,LOW PHY,DFT,0.01%,,,141.55%,0.03%,67.23%,0.01%,0.02%
0.02%,0%,thread_FH,nr-softmodem,nr_slot_select,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool3_-1,nr-softmodem,dB_fixed,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feprx,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,0.01%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],__sched_text_start,NG,,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.14%,RLC,queue,[.],RLC,,,,-0.12%,,141.55%,0.03%,67.23%,0.09%,-0.07%
0.02%,0.19%,Tpool3_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,,,-0.17%,,141.55%,0.03%,67.23%,0.13%,-0.10%
0.02%,0%,thread_FH,[kernel.kallsyms],sys_futex,PHY,LOW PHY,,-0.17%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool0_-1,nr-softmodem,nr_rlc_entity_am_set_time,RLC,,,-0.17%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,Tpool1_-1,nr-softmodem,get_dmrs_freq_idx,PHY,HIGH PHY,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0%,thread_FH,[kernel.kallsyms],validate_xmit_skb,PHY,LOW PHY,,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool0_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool2_-1,libdfts.so,idft64,PHY,LOW PHY,DFT,0.00%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.11%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,,,,-0.09%,,141.55%,0.03%,67.23%,0.07%,-0.05%
0.02%,0%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,,-0.09%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,-0.09%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.04%,Tpool1_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,,,-0.02%,,141.55%,0.03%,67.23%,0.03%,0.00%
0.02%,0%,feptx,[kernel.kallsyms],swapgs_restore_regs_and_return_to_usermode,PHY,LOW PHY,,-0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.00%,pdcp_timer,[kernel.kallsyms],__perf_event_task_sched_in,PDCP,,,0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.00%,feptx,[kernel.kallsyms],_raw_spin_unlock,PHY,LOW PHY,,0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.06%,Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,,-0.04%,,141.55%,0.03%,67.23%,0.04%,-0.01%
0.02%,0%,Tpool1_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,-0.04%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.00%,TASK_RRC_GNB,[kernel.kallsyms],__indirect_thunk_start,RRC,,,0.02%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.13%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,,,,-0.11%,,141.55%,0.03%,67.23%,0.09%,-0.06%
0.02%,0%,thread_FH,[kernel.kallsyms],__virt_addr_valid,PHY,LOW PHY,,-0.11%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feptx,[kernel.kallsyms],x86_pmu_disable,PHY,LOW PHY,,-0.11%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool1_-1,nr-softmodem,fill_dci_pdu_rel15,MAC,,,-0.11%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,Tpool3_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC,-0.11%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0%,feprx,[kernel.kallsyms],reschedule_interrupt,PHY,LOW PHY,,-0.11%,,,141.55%,0.03%,67.23%,0.00%,0.03%
0.02%,0.02%,TASK_RRC_GNB,[kernel.kallsyms],sys_epoll_wait,RRC,,,0.00%,,,141.55%,0.03%,67.23%,0.01%,0.01%
0.02%,0.06%,thread_FH,[kernel.kallsyms],ep_send_events_proc,PHY,LOW PHY,,,-0.04%,,141.55%,0.03%,67.23%,0.04%,-0.01%
0.01%,0%,feptx,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0.03%,feptx,[kernel.kallsyms],intel_pmu_disable_all,PHY,LOW PHY,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],dequeue_task_rt,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,feptx,[kernel.kallsyms],__handle_irq_event_percpu,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.00%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,,0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,pdcp_timer,[kernel.kallsyms],__entry_trampoline_start,PDCP,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],read_tsc,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0.01%,TASK_GTPV1_U,libpthread-2.27.so,__libc_recvfrom,NG,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],swapgs_restore_regs_and_return_to_usermode,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__update_load_avg_se.isra.36,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],__local_bh_enable_ip,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,feptx,[kernel.kallsyms],__rcu_read_lock,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.03%,feptx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,feptx,[kernel.kallsyms],hash_futex,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,libdfts.so,idft1024,PHY,LOW PHY,DFT,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],sched_put_rd,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],apic_timer_interrupt,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.02%,Tpool1_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_rlc_entity_am_recv_pdu,RLC,,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,TASK_GTPV1_U,[kernel.kallsyms],ep_item_poll.isra.12,NG,,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,Tpool3_-1,libldpc.so,ldpc_BG2_Zc88_byte,PHY,HIGH PHY,LDPC,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],sched_avg_update,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],skb_free_head,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,feptx,[unknown],0xfffffe00000fb025,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,Tpool3_-1,nr-softmodem,nr_decode_pucch0,PHY,HIGH PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.12%,Tpool0_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,,,-0.11%,,141.55%,0.01%,67.23%,0.08%,-0.07%
0.01%,0.02%,thread_FH,[kernel.kallsyms],futex_wake,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.02%,thread_FH,[kernel.kallsyms],__cgroup_bpf_run_filter_skb,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,thread_FH,[kernel.kallsyms],tcp_release_cb,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.01%,TASK_RRC_GNB,[kernel.kallsyms],dequeue_task_rt,RRC,,,0.00%,,,141.55%,0.01%,67.23%,0.01%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],update_wall_time,PHY,LOW PHY,,0.00%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,thread_FH,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.06%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,,,-0.05%,,141.55%,0.01%,67.23%,0.04%,-0.03%
0.01%,0.02%,thread_FH,[kernel.kallsyms],cmpxchg_double_slab.isra.33,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,Tpool3_-1,nr-softmodem,nr_sr_reporting,MAC,,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],irq_work_interrupt,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,nr-softmodem,get_slot_from_timestamp,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feptx,[kernel.kallsyms],lapic_next_deadline,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool2_-1,nr-softmodem,nr_decode_pucch0,PHY,HIGH PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],__rcu_read_unlock,PHY,LOW PHY,,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.14%,RLC,queue,[.],RLC,,,,-0.13%,,141.55%,0.01%,67.23%,0.09%,-0.08%
0.01%,0%,TASK_RRC_GNB,[kernel.kallsyms],fput_many,RRC,,,-0.13%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,feprx,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,,-0.13%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],cpu_load_update,PHY,LOW PHY,,-0.13%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.04%,thread_FH,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0%,Tpool0_-1,nr-softmodem,nr_polar_params,PHY,HIGH PHY,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__tcp_send_ack.part.38,PHY,LOW PHY,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,pf_ul,MAC,,,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.09%,Tpool2_-1,nr-softmodem,crc24a,PHY,HIGH PHY,,,-0.08%,,141.55%,0.01%,67.23%,0.06%,-0.05%
0.01%,0.04%,feprx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0%,Tpool1_-1,nr-softmodem,nr_deinterleaving_ldpc,PHY,HIGH PHY,LDPC,-0.03%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.05%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,,,-0.04%,,141.55%,0.01%,67.23%,0.03%,-0.02%
0.01%,0%,feptx,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,,-0.04%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.06%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,,,,-0.05%,,141.55%,0.01%,67.23%,0.04%,-0.03%
0.01%,0.02%,feptx,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0.38%,RLC,queue,[k],RLC,,,,-0.37%,,141.55%,0.01%,67.23%,0.26%,-0.24%
0.01%,0%,pdcp_timer,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PDCP,,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,Tpool3_-1,nr-softmodem,crc24c,PHY,HIGH PHY,,-0.37%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.02%,feptx,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,,,-0.01%,,141.55%,0.01%,67.23%,0.01%,0.00%
0.01%,0%,Tpool0_-1,libdfts.so,idft,PHY,LOW PHY,DFT,-0.01%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0.04%,Tpool1_-1,nr-softmodem,crc24b,PHY,HIGH PHY,,,-0.03%,,141.55%,0.01%,67.23%,0.03%,-0.01%
0.01%,0.03%,Tpool1_-1,libldpc.so,nrLDPC_cn2bnProcBuf_BG2,PHY,HIGH PHY,LDPC,,-0.02%,,141.55%,0.01%,67.23%,0.02%,-0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],perf_event_task_tick,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
0.01%,0%,thread_FH,[kernel.kallsyms],__tcp_select_window,PHY,LOW PHY,,-0.02%,,,141.55%,0.01%,67.23%,0.00%,0.01%
