Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
0.24%,0.16%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,,0.08%,,,141.55%,0.34%,67.23%,0.11%,0.23%
0.24%,0%,Tpool2_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC,0.08%,,,141.55%,0.34%,67.23%,0.00%,0.34%
0.23%,0.10%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,0.13%,,,141.55%,0.33%,67.23%,0.07%,0.26%
0.22%,0%,Tpool1_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC,0.13%,,,141.55%,0.31%,67.23%,0.00%,0.31%
0.22%,0.21%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,,,0.01%,,,141.55%,0.31%,67.23%,0.14%,0.17%
0.21%,0%,TASK_RRC_GNB,[kernel.kallsyms],update_blocked_averages,RRC,,,0.01%,,,141.55%,0.30%,67.23%,0.00%,0.30%
0.21%,1.21%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,-1.00%,,141.55%,0.30%,67.23%,0.81%,-0.52%
0.20%,0.09%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,,,0.11%,,,141.55%,0.28%,67.23%,0.06%,0.22%
0.19%,0.14%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,0.05%,,,141.55%,0.27%,67.23%,0.09%,0.17%
0.18%,0%,TASK_GNB_APP,libc-2.27.so,vfprintf,SL,,,0.05%,,,141.55%,0.25%,67.23%,0.00%,0.25%
0.18%,0.51%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,-0.33%,,141.55%,0.25%,67.23%,0.34%,-0.09%
0.18%,0.01%,TASK_GNB_APP,libc-2.27.so,__GI___printf_fp_l,SL,,,0.17%,,,141.55%,0.25%,67.23%,0.01%,0.25%
0.17%,0%,Tpool3_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC,0.17%,,,141.55%,0.24%,67.23%,0.00%,0.24%
0.16%,0.56%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.40%,,141.55%,0.23%,67.23%,0.38%,-0.15%
0.16%,0.04%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,,0.12%,,,141.55%,0.23%,67.23%,0.03%,0.20%
