Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
0.37%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_enable_asynccancel,NG,,
0.37%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock,NG,,
0.36%,TASK_GTPV1_U,[kernel.kallsyms],__local_bh_enable_ip,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],native_sched_clock,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],ip_finish_output,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],__netdev_pick_tx,NG,,
0.34%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],import_single_range,NG,,
0.34%,TASK_GTPV1_U,nr-softmodem,sdap_data_req,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],security_socket_recvmsg,NG,,
0.34%,TASK_GTPV1_U,[unknown],0xfffffe000003701e,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],mlx4_en_select_queue,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],__kmalloc_node_track_caller,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],rcu_note_context_switch,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],ip_send_skb,NG,,
0.33%,TASK_GTPV1_U,[unknown],0xfffffe000003700c,NG,,
0.31%,TASK_GTPV1_U,[kernel.kallsyms],sch_direct_xmit,NG,,
0.30%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_head_state,NG,,
0.29%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_bh,NG,,
0.28%,TASK_GTPV1_U,[kernel.kallsyms],deactivate_task,NG,,
0.28%,TASK_GTPV1_U,[kernel.kallsyms],kfree_skbmem,NG,,
0.27%,TASK_GTPV1_U,nr-softmodem,nr_pdcp_entity_recv_sdu,NG,,
0.26%,TASK_GTPV1_U,[kernel.kallsyms],vfs_write,NG,,
0.25%,TASK_GTPV1_U,[kernel.kallsyms],neigh_resolve_output,NG,,
0.25%,TASK_GTPV1_U,[kernel.kallsyms],eth_header,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],skb_clone_tx_timestamp,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_bh,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],ep_scan_ready_list.constprop.17,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],__fget_light,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],validate_xmit_skb,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],kmem_cache_alloc_node,NG,,
0.24%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],__wake_up_common,NG,,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],__cgroup_bpf_run_filter_skb,NG,,
0.23%,TASK_GTPV1_U,nr-softmodem,pdcp_data_req,NG,,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],ep_item_poll.isra.12,NG,,
0.23%,TASK_GTPV1_U,libc-2.27.so,_int_malloc,NG,,
0.23%,TASK_GTPV1_U,[kernel.kallsyms],udp_poll,NG,,
0.22%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_rt,NG,,
0.22%,TASK_GTPV1_U,[kernel.kallsyms],eventfd_write,NG,,
0.22%,TASK_GTPV1_U,libpthread-2.27.so,__libc_read,NG,,
0.22%,TASK_GTPV1_U,[kernel.kallsyms],first_packet_length,NG,,
0.22%,TASK_GTPV1_U,libc-2.27.so,__libc_calloc,NG,,
0.22%,TASK_GTPV1_U,[kernel.kallsyms],__check_object_size,NG,,
0.22%,TASK_GTPV1_U,[kernel.kallsyms],aa_file_perm,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],cmpxchg_double_slab.isra.33,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],__sched_text_start,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],mutex_unlock,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],iov_iter_advance,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],__skb_recv_udp,NG,,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],validate_xmit_xfrm,NG,,
0.20%,TASK_GTPV1_U,[kernel.kallsyms],aa_sk_perm,NG,,
0.20%,TASK_GTPV1_U,[kernel.kallsyms],mlx4_en_features_check,NG,,
0.18%,TASK_GTPV1_U,[kernel.kallsyms],ip_output,NG,,
0.15%,TASK_GTPV1_U,[kernel.kallsyms],sockfd_lookup_light,NG,,
0.15%,TASK_GTPV1_U,[kernel.kallsyms],__fdget,NG,,
0.14%,TASK_GTPV1_U,[kernel.kallsyms],skb_consume_udp,NG,,
0.14%,TASK_GTPV1_U,[kernel.kallsyms],sock_alloc_send_pskb,NG,,
0.14%,TASK_GTPV1_U,libpthread-2.27.so,__libc_sendto,NG,,
0.13%,TASK_GTPV1_U,[kernel.kallsyms],__put_user_8,NG,,
0.13%,TASK_GTPV1_U,nr-softmodem,itti_send_msg_to_task_locked,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],fib_select_path,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],__x86_indirect_thunk_rbx,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],__x86_indirect_thunk_r8,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],put_prev_task_rt,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],udp_rmem_release,NG,,
0.12%,TASK_GTPV1_U,[kernel.kallsyms],ctx_sched_out,NG,,
0.12%,TASK_GTPV1_U,nr-softmodem,gtpv1uCreateAndSendMsg.constprop.130,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],inet_sendmsg,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],eventfd_read,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],__ip_local_out,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],skb_checksum,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_out,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],security_sk_classify_flow,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],native_apic_msr_eoi_write,NG,,
0.11%,TASK_GTPV1_U,libpthread-2.27.so,__libc_recvfrom,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],__kmalloc_reserve.isra.40,NG,,
0.11%,TASK_GTPV1_U,nr-softmodem,itti_send_msg_to_task,NG,,
0.11%,TASK_GTPV1_U,[kernel.kallsyms],fput,NG,,
0.10%,TASK_GTPV1_U,nr-softmodem,itti_get_events,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],ipv4_mtu,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],inet_recvmsg,NG,,
0.10%,TASK_GTPV1_U,nr-softmodem,itti_receive_msg,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],__ip_make_skb,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],udp_skb_destructor,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],__fsnotify_parent,NG,,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_idle,NG,,
