0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
0.00%,0.00%,PDCP,ind,PHY,LOW PHY???,
