Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
6.36%,feptx,libdfts.so,idft1536,PHY,LOW PHY,DFT
4.55%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
4.26%,feptx,libdfts.so,idft64,PHY,LOW PHY,DFT
3.12%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
2.30%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
